file,success,initial_distance_m,final_distance_m,distance_reduction_m,progress_ratio,n_steps,episode_duration_s,mean_speed_mps,max_speed_mps,n_drive_actions,n_brake_actions,total_brake_time_s,mean_brake_strength,n_safety_overrides,pct_safety_overrides,mean_abs_bearing_deg,max_abs_bearing_deg,steer_diff_mean,throttle_diff_mean,steer_sign_changes,forward_sign_changes
29.csv,True,223.92,3.53,220.39,0.9842354412290103,38,89.47000002861023,2.398157894736842,4.66,20,18,11.600000000000001,21.38888888888889,4,10.526315789473685,6.786842105263159,22.81,0.18108108108108106,0.2081081081081081,10,0
3.csv,True,241.76,8.02,233.73999999999998,0.9668266048974189,39,88.03000020980835,2.7261538461538457,7.07,27,12,5.4,14.166666666666666,2,5.128205128205129,15.770512820512822,105.15,0.3078947368421052,0.15,18,0
30.csv,True,180.56,7.53,173.03,0.9582964111652637,28,69.17000007629395,2.5049999999999994,6.11,21,7,4.5,19.285714285714285,1,3.5714285714285716,14.696428571428573,75.41,0.5444444444444444,0.12592592592592594,14,0
31.csv,True,190.19,3.0,187.19,0.9842263000157737,33,84.72000002861023,2.2915151515151515,5.89,23,10,2.8,23.0,0,0.0,18.856363636363636,112.28,0.24375,0.13749999999999998,12,0
32.csv,True,265.25,4.65,260.6,0.982469368520264,44,114.0,2.3784090909090914,5.39,32,12,3.0000000000000004,16.25,1,2.272727272727273,18.75840909090909,115.88,0.44651162790697674,0.10930232558139535,20,0
33.csv,True,262.36,5.09,257.27000000000004,0.980599176703766,49,108.22000002861023,2.3965306122448977,5.31,34,15,7.499999999999998,16.666666666666668,2,4.081632653061225,11.911836734693876,91.86,0.38333333333333336,0.13333333333333333,19,0
34.csv,True,141.76,4.44,137.32,0.9686794582392777,26,58.209999799728394,2.5207692307692304,4.29,17,9,5.0,17.77777777777778,0,0.0,22.301538461538463,117.01,0.21600000000000003,0.11200000000000002,6,0
35.csv,True,287.99,9.18,278.81,0.9681238931907358,48,113.68999981880188,2.5547916666666666,5.73,33,15,8.0,15.0,1,2.0833333333333335,13.855833333333335,103.56,0.30425531914893617,0.16595744680851063,18,0
36.csv,True,265.64,3.05,262.59,0.9885182954374341,47,115.51999998092651,2.3087234042553195,3.78,34,13,7.0,14.615384615384615,0,0.0,7.469148936170213,168.93,0.42173913043478267,0.13478260869565217,29,0
37.csv,True,249.85,8.28,241.57,0.9668601160696417,34,89.93999981880188,2.5029411764705887,5.79,23,11,4.799999999999999,15.0,1,2.9411764705882355,8.319117647058825,41.88,0.20606060606060608,0.17272727272727273,11,0
38.csv,True,169.45,5.69,163.76,0.9664207730894069,27,63.03999996185303,2.5751851851851857,4.5,17,10,5.4,16.5,1,3.7037037037037037,7.979259259259258,25.47,0.25384615384615383,0.13076923076923078,10,0
39.csv,True,280.52,8.29,272.22999999999996,0.9704477399115927,48,119.44999980926514,2.438125,4.52,33,15,7.9,15.666666666666666,3,6.25,18.464791666666667,144.63,0.2893617021276596,0.12340425531914895,19,0
4.csv,True,210.91,9.45,201.46,0.955194158645868,40,91.16000008583069,2.25875,4.9,28,12,4.200000000000001,17.916666666666668,1,2.5,10.26675,60.35,0.35384615384615387,0.1333333333333333,18,0
40.csv,True,267.59,5.05,262.53999999999996,0.981127844837251,44,109.28999996185303,2.5095454545454547,7.0,32,12,5.8,16.25,1,2.272727272727273,14.01909090909091,93.1,0.49302325581395345,0.10930232558139535,23,0
5.csv,True,222.96,4.97,217.99,0.9777090060997489,40,93.28999996185303,2.35725,5.2,28,12,7.7,17.5,2,5.0,17.9615,115.21,0.3282051282051282,0.14102564102564102,15,0
6.csv,True,120.48,4.41,116.07000000000001,0.9633964143426295,26,60.579999923706055,2.3603846153846155,4.81,18,8,5.1,21.25,2,7.6923076923076925,43.05576923076922,174.93,0.272,0.10400000000000001,6,0
7.csv,True,218.46,5.26,213.20000000000002,0.9759223656504624,37,94.09000015258789,2.4299999999999997,5.27,26,11,5.4,15.909090909090908,3,8.108108108108109,21.574594594594597,120.95,0.5166666666666665,0.15277777777777776,14,0
8.csv,True,281.75,4.16,277.59,0.9852351375332741,43,112.25,2.5483720930232554,6.13,29,14,7.4,16.785714285714285,1,2.3255813953488373,13.568837209302323,113.12,0.05714285714285714,0.1714285714285714,0,0
9.csv,True,229.56,5.72,223.84,0.9750827670325841,43,107.1399998664856,2.2223255813953493,4.97,31,12,4.7,20.416666666666668,1,2.3255813953488373,16.046511627906973,110.4,0.3619047619047619,0.14285714285714288,21,0
